City,Latitude,Longitude,Zip,State,State Name,Country
MOBILE,0,0,36606,AL,Alabama,USA
MESA,33.39997,-111.87406,85202-2901,AZ,Arizona,USA
TUCSON,32.23638,-110.95655,85719-4443,AZ,Arizona,USA
TEMPE,33.3785,-111.93886,85282-6808,AZ,Arizona,USA
TUCSON,32.22099,-110.89272,85711-3512,AZ,Arizona,USA
PHOENIX,33.39251,-112.04708,85040-3533,AZ,Arizona,USA
MESA,33.41572,-111.78762,85213-9105,AZ,Arizona,USA
PHOENIX,33.62565,-112.11268,85023-4221,AZ,Arizona,USA
CHANDLER,33.33478,-111.87688,85224-2182,AZ,Arizona,USA
PHOENIX,33.59615,-112.11981,85029-3304,AZ,Arizona,USA
PHOENIX,33.49554,-112.08274,85013-3136,AZ,Arizona,USA
CHANDLER,33.31691,-111.84194,85225,AZ,Arizona,USA
PHOENIX,33.46669,-112.15229,85035-4205,AZ,Arizona,USA
MESA,33.36472,-111.859467,85202-9102,AZ,Arizona,USA
TEMPE,33.40769,-111.91724,85282-1606,AZ,Arizona,USA
CASA GRANDE,32.89391,-111.74858,85122-0000,AZ,Arizona,USA
PHOENIX,33.50894,-112.20372,85033-1612,AZ,Arizona,USA
TUCSON,32.22056,-110.84153,85710-2805,AZ,Arizona,USA
TUCSON,32.25091,-110.91808,85716-2931,AZ,Arizona,USA
TEMPE,33.42141,-111.909821,85281-8497,AZ,Arizona,USA
GILBERT,33.37132,-111.78936,85234-3391,AZ,Arizona,USA
PHOENIX,33.49514,-112.03926,85016-6017,AZ,Arizona,USA
TEMPE,33.33402,-111.9449,85284-2940,AZ,Arizona,USA
GILBERT,33.3363,-111.75478,85296-3131,AZ,Arizona,USA
TUCSON,32.24379,-110.87585,85712-3633,AZ,Arizona,USA
PEORIA,33.5676,-112.20343,85345-7275,AZ,Arizona,USA
PHOENIX,33.48105,-112.18591,85031-3229,AZ,Arizona,USA
PHOENIX,33.49419,-112.27311,85037-5902,AZ,Arizona,USA
PHOENIX,33.48094,-111.99601,85018-7512,AZ,Arizona,USA
PHOENIX,33.50259,-112.0297,85016-5201,AZ,Arizona,USA
TUCSON,32.20023,-110.90123,85711-6114,AZ,Arizona,USA
PHOENIX,33.30464,-111.979561,85048-0804,AZ,Arizona,USA
TUCSON,32.20726,-110.95653,85713-1706,AZ,Arizona,USA
PHOENIX,33.37874,-111.97908,85042-7453,AZ,Arizona,USA
PHOENIX,33.45139,-111.97892,85008-6928,AZ,Arizona,USA
MESA,33.40772,-111.78752,85204-2817,AZ,Arizona,USA
MESA,33.3791,-111.84918,85210-5901,AZ,Arizona,USA
PHOENIX,33.49546,-112.11658,85017-4306,AZ,Arizona,USA
PHOENIX,33.50856,-112.22007,85033-1331,AZ,Arizona,USA
MESA,33.40011,-111.85648,85210-2002,AZ,Arizona,USA
PHOENIX,33.66737,-112.11767,85027-4000,AZ,Arizona,USA
PHOENIX,33.58216,-112.01261,85028-3301,AZ,Arizona,USA
PHOENIX,33.53884,-112.09886,85021-8543,AZ,Arizona,USA
SCOTTSDALE,33.52432,-111.89976,85250-6327,AZ,Arizona,USA
TEMPE,33.41812,-111.90928,85281-4504,AZ,Arizona,USA
PHOENIX,33.46538,-112.02992,85008-3528,AZ,Arizona,USA
TUCSON,32.19975,-110.90997,85711-6214,AZ,Arizona,USA
TUCSON,32.23591,-110.90076,85711-1139,AZ,Arizona,USA
TUCSON,32.23564,-110.94549,85719-4515,AZ,Arizona,USA
GILBERT,33.34924,-111.80636,85233-5305,AZ,Arizona,USA
PHOENIX,33.51014,-111.99665,85018,AZ,Arizona,USA
PHOENIX,33.64077,-112.0615,85022-2653,AZ,Arizona,USA
PHOENIX,33.46614,-111.97883,85008-4510,AZ,Arizona,USA
TUCSON,32.22846,-110.99847,85745-3107,AZ,Arizona,USA
TUCSON,32.32322,-110.89339,85718-1630,AZ,Arizona,USA
PHOENIX,33.53831,-112.1162,85051-6715,AZ,Arizona,USA
GLENDALE,33.56659,-112.18669,85302-3031,AZ,Arizona,USA
SCOTTSDALE,33.46631,-111.90001,85257-3904,AZ,Arizona,USA
PHOENIX,33.47967,-111.96985,85018-7914,AZ,Arizona,USA
PHOENIX,33.64009,-112.13064,85053,AZ,Arizona,USA
TUCSON,32.22854,-110.90992,85716-5145,AZ,Arizona,USA
TUCSON,32.20742,-110.892708,85711-5711,AZ,Arizona,USA
PHOENIX,33.4658,-112.18704,85035-4840,AZ,Arizona,USA
ANAHEIM,33.84709,-117.90598,92805-2150,CA,California,USA
LOS GATOS,37.22082,-121.97506,95030,CA,California,USA
WATSONVILLE,36.91501,-121.75418,95076-4717,CA,California,USA
NORCO,33.89968,-117.55898,92860,CA,California,USA
SANTA ROSA,38.4521,-122.75077,95403,CA,California,USA
TUSTIN,33.73261,-117.82708,92780-5603,CA,California,USA
MARYSVILLE,39.10951,-121.55547,95901,CA,California,USA
REDONDO BEACH,33.8586,-118.37008,90278,CA,California,USA
LOS ANGELES,34.02189,-118.37192,90016-5013,CA,California,USA
FOUNTAIN VALLEY,33.70121,-117.95488,92708,CA,California,USA
SOUTH SAN FRANCISCO,37.64901,-122.43016,94080-4404,CA,California,USA
LONG BEACH,33.77917,-118.18887,90813-3221,CA,California,USA
COSTA MESA,33.67019,-117.9197,92626-5227,CA,California,USA
SAN BERNARDINO,34.16439,-117.28476,92405,CA,California,USA
MURRIETA,33.5311,-117.17719,92562,CA,California,USA
RIVERSIDE,33.94415,-117.38954,92506,CA,California,USA
PASADENA,34.14616,-118.1161,91106,CA,California,USA
LOS ANGELES,34.06182,-118.33872,90036-4315,CA,California,USA
CHULA VISTA,32.63836,-117.09207,91910-2319,CA,California,USA
SANTEE,32.83116,-116.98317,92071-4329,CA,California,USA
FONTANA,34.06354,-117.4543,92337-7337,CA,California,USA
TORRANCE,33.8229,-118.3516,90505-2510,CA,California,USA
CYPRESS,33.82475,-118.02782,90630,CA,California,USA
LOS ANGELES,34.04211,-118.25602,90015,CA,California,USA
LOS ANGELES,34.05372,-118.35508,90019-2576,CA,California,USA
BLOOMINGTON,34.06348,-117.39692,92316-2404,CA,California,USA
SANTEE,32.83825,-117.0004,92071-3723,CA,California,USA
NOVATO,38.10041,-122.57488,94947-4008,CA,California,USA
SAN MARCOS,33.13763,-117.17893,92078-1220,CA,California,USA
IMPERIAL BEACH,32.57614,-117.10528,91932-2837,CA,California,USA
MANHATTAN BEACH,33.89485,-118.37882,90266,CA,California,USA
SIMI VALLEY,34.27866,-118.7445,93065-2638,CA,California,USA
LOS ANGELES,34.0688,-118.29626,90020,CA,California,USA
COSTA MESA,33.65212,-117.93173,92627-3302,CA,California,USA
SOUTH GATE,33.95348,-118.19611,90280,CA,California,USA
CLOVERDALE,38.78386,-123.01148,95425,CA,California,USA
DUBLIN,37.71883,-121.91076,94568,CA,California,USA
HUNTINGTON BEACH,33.67615,-117.98902,92648-2906,CA,California,USA
SAN JOSE,37.37384,-121.87229,95133-1514,CA,California,USA
LAGUNA HILLS,33.59526,-117.68085,92653-5138,CA,California,USA
CITY OF INDUSTRY,34.02685,-118.03528,90601,CA,California,USA
SAN JOSE,37.28045,-121.82315,95111-2559,CA,California,USA
CITRUS HEIGHTS,38.68774,-121.30837,95621-4211,CA,California,USA
SAN DIEGO,32.72778,-117.12929,92104-5517,CA,California,USA
SANTA ROSA,38.42823,-122.66785,95405-8563,CA,California,USA
FONTANA,34.0554,-117.43612,92337,CA,California,USA
SACRAMENTO,38.48206,-121.42203,95828,CA,California,USA
LOS ANGELES,34.03217,-118.1542,90022,CA,California,USA
REDONDO BEACH,33.83348,-118.3883,90277,CA,California,USA
BAKERSFIELD,35.36455,-119.02909,93304-1921,CA,California,USA
LAKESIDE,32.86264,-116.9218,92040-3111,CA,California,USA
LOS ANGELES,34.04297,-118.21611,90033,CA,California,USA
PASADENA,34.16893,-118.09871,91107-1431,CA,California,USA
